time,delta_mu
2017-06-10 06:00:00,0.9548111
2017-06-10 07:00:00,0.32732716
2017-06-10 08:00:00,0.07786172
2017-06-10 09:00:00,0.13018398
2017-06-10 10:00:00,0.07890812
2017-06-10 11:00:00,0.07936001
2017-06-10 12:00:00,0.1069911
2017-06-10 13:00:00,0.08358421
2017-06-10 14:00:00,0.08369529
2017-06-10 15:00:00,0.09299338
2017-06-10 16:00:00,0.066371016
2017-06-10 17:00:00,0.08231549
2017-06-10 18:00:00,0.13508557
2017-06-10 19:00:00,0.06836256
2017-06-10 20:00:00,0.109282464
2017-06-10 21:00:00,0.16266954
2017-06-10 22:00:00,0.096767575
2017-06-10 23:00:00,0.05144991
2017-06-11 00:00:00,0.03180216
2017-06-11 01:00:00,0.08670704
2017-06-11 02:00:00,0.062223356
2017-06-11 03:00:00,0.08904858
2017-06-11 04:00:00,0.14884028
2017-06-11 05:00:00,0.1573512
2017-06-11 06:00:00,0.117294185
2017-06-11 07:00:00,0.12946175
2017-06-11 08:00:00,0.074554496
2017-06-11 09:00:00,0.09848334
2017-06-11 10:00:00,0.081585
2017-06-11 11:00:00,0.0848646
2017-06-11 12:00:00,0.09014992
2017-06-11 13:00:00,0.093899086
2017-06-11 14:00:00,0.046504807
2017-06-11 15:00:00,0.092440866
2017-06-11 16:00:00,0.10045342
2017-06-11 17:00:00,0.071234435
2017-06-11 18:00:00,0.09454747
2017-06-11 19:00:00,0.05199684
2017-06-11 20:00:00,0.11082453
2017-06-11 21:00:00,0.14041947
2017-06-11 22:00:00,0.18489143
2017-06-11 23:00:00,0.09263183
2017-06-12 00:00:00,0.111558296
2017-06-12 01:00:00,0.09427682
2017-06-12 02:00:00,0.08304708
2017-06-12 03:00:00,0.087478094
2017-06-12 04:00:00,0.09432788
2017-06-12 05:00:00,0.10334171
2017-06-12 06:00:00,0.12636589
2017-06-12 07:00:00,0.1635062
2017-06-12 08:00:00,0.119881004
2017-06-12 09:00:00,0.1321279
2017-06-12 10:00:00,0.059373304
2017-06-12 11:00:00,0.11058082
2017-06-12 12:00:00,0.093021244
2017-06-12 13:00:00,0.079038136
2017-06-12 14:00:00,0.11877769
2017-06-12 15:00:00,0.080148846
2017-06-12 16:00:00,0.09685743
2017-06-12 17:00:00,0.081606835
2017-06-12 18:00:00,0.07195036
2017-06-12 19:00:00,0.06446997
2017-06-12 20:00:00,0.05668471
2017-06-12 21:00:00,0.08829245
2017-06-12 22:00:00,0.082290635
2017-06-12 23:00:00,0.13173045
2017-06-13 02:00:00,0.116874084
2017-06-13 03:00:00,0.10290731
2017-06-13 04:00:00,0.111097276
2017-06-13 05:00:00,0.119293325
2017-06-13 06:00:00,0.094601996
2017-06-13 07:00:00,0.10777534
2017-06-13 08:00:00,0.17865084
2017-06-13 09:00:00,0.1347187
2017-06-13 10:00:00,0.082570955
2017-06-13 11:00:00,0.11248005
2017-06-13 12:00:00,0.1297257
2017-06-13 13:00:00,0.12630698
2017-06-13 14:00:00,0.110011086
2017-06-13 16:00:00,0.13560219
2017-06-13 17:00:00,0.10116078
